w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
62,2,2.28775e+00,2.07500e+00,1.02010e-02,6.59479e-03
63,2,2.30625e+00,2.07500e+00,9.87922e-03,6.51281e-03
64,2,2.32475e+00,2.07500e+00,9.55842e-03,6.42447e-03
65,2,2.34325e+00,2.07500e+00,9.23871e-03,6.32990e-03
66,2,2.36175e+00,2.07500e+00,8.92024e-03,6.22922e-03
67,2,2.38025e+00,2.07500e+00,8.60320e-03,6.12255e-03
68,2,2.39875e+00,2.07500e+00,8.28781e-03,6.01002e-03
69,2,2.41725e+00,2.07500e+00,7.97431e-03,5.89177e-03
70,2,2.43575e+00,2.07500e+00,7.66294e-03,5.76794e-03
71,2,2.45425e+00,2.07500e+00,7.35396e-03,5.63865e-03
72,2,2.47275e+00,2.07500e+00,7.04763e-03,5.50405e-03
73,2,2.49125e+00,2.07500e+00,6.74420e-03,5.36425e-03
74,2,2.50975e+00,2.07500e+00,6.44392e-03,5.21942e-03
75,2,2.52825e+00,2.07500e+00,6.14704e-03,5.06965e-03
76,2,2.54675e+00,2.07500e+00,5.85377e-03,4.91510e-03
77,2,2.56525e+00,2.07500e+00,5.56434e-03,4.75590e-03
78,2,2.58375e+00,2.07500e+00,5.27895e-03,4.59214e-03
79,2,2.60225e+00,2.07500e+00,4.99780e-03,4.42398e-03
80,2,2.62075e+00,2.07500e+00,4.72106e-03,4.25152e-03
81,2,2.63925e+00,2.07500e+00,4.44889e-03,4.07487e-03
82,2,2.65775e+00,2.07500e+00,4.18145e-03,3.89414e-03
83,2,2.67625e+00,2.07500e+00,3.91886e-03,3.70943e-03
84,2,2.69475e+00,2.07500e+00,3.66126e-03,3.52084e-03
85,2,2.71325e+00,2.07500e+00,3.40873e-03,3.32847e-03
86,2,2.73175e+00,2.07500e+00,3.16139e-03,3.13239e-03
87,2,2.75025e+00,2.07500e+00,2.91929e-03,2.93269e-03
88,2,2.76875e+00,2.07500e+00,2.68252e-03,2.72944e-03
89,2,2.78725e+00,2.07500e+00,2.45111e-03,2.52270e-03
90,2,2.80575e+00,2.07500e+00,2.22512e-03,2.31253e-03
91,2,2.82425e+00,2.07500e+00,2.00457e-03,2.09898e-03
92,2,2.84275e+00,2.07500e+00,1.78949e-03,1.88210e-03
93,2,2.86125e+00,2.07500e+00,1.57987e-03,1.66190e-03
94,2,2.87975e+00,2.07500e+00,1.37572e-03,1.43843e-03
95,2,2.89825e+00,2.07500e+00,1.17703e-03,1.21168e-03
96,2,2.91675e+00,2.07500e+00,9.83774e-04,9.81672e-04
97,2,2.93525e+00,2.07500e+00,7.95934e-04,7.48392e-04
98,2,2.95375e+00,2.07500e+00,6.13474e-04,5.11819e-04
99,2,2.97225e+00,2.07500e+00,4.36353e-04,2.71875e-04
100,2,2.99075e+00,2.07500e+00,2.64525e-04,2.81421e-05
